TIME, 1-REF
000:00:10.650,-13.74
000:00:10.675,-5.57
000:00:10.700,5.5
000:00:10.725,4.12
000:00:10.750,-7.02
000:00:10.775,-12.29
000:00:10.800,-2.9
000:00:10.825,9.85
000:00:10.850,12.14
000:00:10.875,2.44
000:00:10.900,-3.44
000:00:10.925,-8.32
000:00:10.950,-7.56
000:00:10.975,4.96
000:00:11.000,15.57
000:00:11.025,-3.97
000:00:11.050,-21.98
000:00:11.075,-2.9
000:00:11.100,11.45
000:00:11.125,3.44
000:00:11.150,0.99
000:00:11.175,-2.9
000:00:11.200,9.85
000:00:11.225,3.44
000:00:11.250,-13.82
000:00:11.275,-1.76
000:00:11.300,9.77
000:00:11.325,3.21
000:00:11.350,-7.79
000:00:11.375,-0.38
000:00:11.400,16.95
000:00:11.425,16.56
000:00:11.450,3.74
000:00:11.475,-3.89
000:00:11.500,3.05
000:00:11.525,-0.92
000:00:11.550,-14.35
000:00:11.575,-15.11
000:00:11.600,0.61
000:00:11.625,5.65
000:00:11.650,-1.53
000:00:11.675,-4.43
000:00:11.700,4.12
000:00:11.725,4.43
000:00:11.750,0.69
000:00:11.775,-3.13
000:00:11.800,8.09
000:00:11.825,3.59
000:00:11.850,2.14
000:00:11.875,4.43
000:00:11.900,15.88
000:00:11.925,4.05
000:00:11.950,-7.56
000:00:11.975,1.83
000:00:12.000,11.07
000:00:12.025,2.9
000:00:12.050,0.0
000:00:12.075,0.92
000:00:12.100,5.34
000:00:12.125,-12.37
000:00:12.150,-29.54
000:00:12.175,-24.73
000:00:12.200,6.26
000:00:12.225,22.21
000:00:12.250,14.89
000:00:12.275,-7.1
000:00:12.300,-10.53
000:00:12.325,-3.97
000:00:12.350,-5.19
000:00:12.375,-6.64
000:00:12.400,5.8
000:00:12.425,7.56
000:00:12.450,-8.32
000:00:12.475,-25.8
000:00:12.500,-20.23
000:00:12.525,3.21
000:00:12.550,-8.55
000:00:12.575,-28.47
000:00:12.600,-31.53
000:00:12.625,-27.56
000:00:12.650,-27.25
000:00:12.675,-32.21
000:00:12.700,-16.72
000:00:12.725,8.47
000:00:12.750,1.53
000:00:12.775,-20.38
000:00:12.800,-35.34
000:00:12.825,-14.35
000:00:12.850,11.83
000:00:12.875,18.17
000:00:12.900,14.89
000:00:12.925,-0.61
000:00:12.950,-5.95
000:00:12.975,5.27
000:00:13.000,8.02
000:00:13.025,15.73
000:00:13.050,14.05
000:00:13.075,3.36
000:00:13.100,-11.53
000:00:13.125,-16.03
000:00:13.150,-16.11
000:00:13.175,-5.73
000:00:13.200,13.74
000:00:13.225,26.11
000:00:13.250,10.23
000:00:13.275,-6.26
000:00:13.300,-4.73
000:00:13.325,16.95
000:00:13.350,27.02
000:00:13.375,26.72
000:00:13.400,20.0
000:00:13.425,8.7
000:00:13.450,6.41
000:00:13.475,8.63
000:00:13.500,12.82
000:00:13.525,22.21
000:00:13.550,13.44
000:00:13.575,7.33
000:00:13.600,5.04
000:00:13.625,8.4
000:00:13.650,20.53
000:00:13.675,28.47
000:00:13.700,15.57
000:00:13.725,0.0
000:00:13.750,-4.5
000:00:13.775,7.1
000:00:13.800,17.79
000:00:13.825,38.17
000:00:13.850,28.47
000:00:13.875,2.06
000:00:13.900,-12.06
000:00:13.925,0.99
000:00:13.950,11.98
000:00:13.975,11.53
000:00:14.000,-5.19
000:00:14.025,-3.05
000:00:14.050,7.48
000:00:14.075,14.73
000:00:14.100,8.17
000:00:14.125,12.82
000:00:14.150,18.02
000:00:14.175,15.95
000:00:14.200,0.46
000:00:14.225,0.0
000:00:14.250,0.92
000:00:14.275,14.43
000:00:14.300,19.08
000:00:14.325,19.47
000:00:14.350,9.08
000:00:14.375,-0.69
000:00:14.400,10.23
000:00:14.425,14.66
000:00:14.450,10.08
000:00:14.475,13.44
000:00:14.500,18.78
000:00:14.525,23.44
000:00:14.550,30.46
000:00:14.575,26.56
000:00:14.600,15.27
000:00:14.625,15.04
000:00:14.650,21.83
000:00:14.675,20.53
000:00:14.700,3.21
000:00:14.725,0.0
000:00:14.750,2.44
000:00:14.775,3.44
000:00:14.800,8.47
000:00:14.825,16.18
000:00:14.850,2.67
000:00:14.875,-2.21
000:00:14.900,-3.66
000:00:14.925,-0.08
000:00:14.950,10.15
000:00:14.975,2.06
000:00:15.000,-15.5
000:00:15.025,-8.17
000:00:15.050,6.56
000:00:15.075,6.03
000:00:15.100,4.73
000:00:15.125,-5.11
000:00:15.150,-13.21
000:00:15.175,-21.22
000:00:15.200,-19.69
000:00:15.225,-4.27
000:00:15.250,7.02
000:00:15.275,-9.85
000:00:15.300,-26.95
000:00:15.325,-13.66
000:00:15.350,1.91
000:00:15.375,2.44
000:00:15.400,-18.55
000:00:15.425,-31.3
000:00:15.450,-13.59
000:00:15.475,-1.98
000:00:15.500,-13.51
000:00:15.525,-14.58
000:00:15.550,5.8
000:00:15.575,9.62
000:00:15.600,-3.74
000:00:15.625,-5.11
000:00:15.650,-0.31
000:00:15.675,-4.5
000:00:15.700,-6.49
000:00:15.725,6.72
000:00:15.750,20.31
000:00:15.775,6.34
000:00:15.800,-18.55
000:00:15.825,-20.23
000:00:15.850,7.02
000:00:15.875,26.79
000:00:15.900,15.8
000:00:15.925,-4.73
000:00:15.950,-5.04
000:00:15.975,3.74
000:00:16.000,4.73
000:00:16.025,8.47
000:00:16.050,9.08
000:00:16.075,11.45
000:00:16.100,10.15
000:00:16.125,0.0
000:00:16.150,1.45
000:00:16.175,0.46
000:00:16.200,-2.14
000:00:16.225,-8.17
000:00:16.250,-18.02
000:00:16.275,-18.85
000:00:16.300,-11.98
000:00:16.325,3.28
000:00:16.350,16.41
000:00:16.375,14.58
000:00:16.400,-0.99
000:00:16.425,-10.46
000:00:16.450,0.08
000:00:16.475,16.79
000:00:16.500,11.15
000:00:16.525,-0.31
000:00:16.550,-1.98
000:00:16.575,1.83
000:00:16.600,-5.04
000:00:16.625,-4.27
000:00:16.650,4.12
000:00:16.675,5.88
000:00:16.700,-9.08
000:00:16.725,-11.07
000:00:16.750,2.98
000:00:16.775,9.31
000:00:16.800,-4.73
000:00:16.825,-10.92
000:00:16.850,-6.87
000:00:16.875,10.92
000:00:16.900,13.28
000:00:16.925,-2.21
000:00:16.950,-5.42
000:00:16.975,6.87
000:00:17.000,-7.18
000:00:17.025,-25.5
000:00:17.050,-24.43
000:00:17.075,-0.53
000:00:17.100,6.26
000:00:17.125,-10.61
000:00:17.150,-11.07
000:00:17.175,-1.07
000:00:17.200,6.41
000:00:17.225,15.42
000:00:17.250,0.53
000:00:17.275,-8.63
000:00:17.300,-3.21
000:00:17.325,-9.24
000:00:17.350,-12.67
000:00:17.375,-1.15
000:00:17.400,17.02
000:00:17.425,16.72
